Row Labels,Number_of_assigned_group,BUSINESS_COMPLETION_HRS
IN10079331,5,128.01
IN10152314,2,128.02
IN10195655,1,128.02
IN10217679,3,128.05
IN10260916,1,128.05
IN10114707,1,128.1
IN10125777,2,128.12
IN10045120,1,128.15
IN10102364,1,128.15
IN10065623,3,128.17
IN10127223,3,128.18
IN10156526,3,128.19
IN10191900,3,128.19
IN10149383,1,128.22
IN10041013,3,128.23
IN10057702,2,128.23
IN10072913,1,128.23
IN10116773,4,128.24
IN10172660,1,128.24
IN10072773,2,128.25
IN10051351,1,128.27
IN10115742,1,128.27
IN10228031,1,128.27
IN10259696,1,128.27
IN10030539,2,128.28
IN10203205,1,128.29
IN10087287,1,128.3
IN10103958,3,128.3
IN10129457,1,128.3
IN10212397,1,128.3
IN10039633,2,128.32
IN10122113,2,128.32
IN10251822,1,128.32
IN10182500,7,128.36
IN10109338,3,128.37
IN10090606,1,128.4
IN10191999,1,128.4
IN10057206,4,128.42
IN10123113,3,128.43
IN10236997,1,128.43
IN10175458,1,128.44
IN10168929,1,128.45
IN10154890,2,128.47
IN10055230,1,128.49
IN10112580,3,128.5
IN10096745,1,128.52
IN10196707,3,128.52
IN10083797,1,128.53
IN10116023,3,128.53
IN10170822,2,128.53
IN10180900,1,128.53
IN10099615,1,128.56
IN10133731,1,128.57
IN10133732,2,128.58
IN10133733,1,128.58
IN10140772,1,128.58
IN10188306,3,128.58
IN10259579,1,128.58
IN10132636,1,128.6
IN10133734,1,128.6
IN10093891,1,128.62
IN10112596,1,128.62
IN10158120,1,128.62
IN10185160,1,128.62
IN10133001,2,128.63
IN10042965,1,128.65
IN10136876,2,128.65
IN10204360,1,128.65
IN10166318,5,128.67
IN10202452,1,128.67
IN10193136,1,128.68
IN10150747,3,128.69
IN10072394,4,128.71
IN10029764,1,128.75
IN10100175,1,128.75
IN10138334,2,128.75
IN10252789,5,128.76
IN10066516,3,128.77
IN10150651,1,128.78
IN10150652,1,128.78
IN10064168,1,128.81
IN10070088,2,128.82
IN10201272,1,128.83
IN10074452,1,128.85
IN10053250,3,128.88
IN10218937,1,128.88
IN10058852,1,128.92
IN10124166,1,128.92
IN10192718,1,128.93
IN10050202,1,128.95
IN10059415,1,128.97
IN10035666,1,128.98
IN10081121,2,128.98
IN10121138,1,128.99
IN10038583,1,129
IN10088225,1,129.01
IN10117752,1,129.03
IN10073811,1,129.05
IN10163873,2,129.05
IN10090428,1,129.06
IN10117812,1,129.07
IN10229910,1,129.07
IN10064948,3,129.08
IN10144629,1,129.08
IN10235791,2,129.08
IN10087486,4,129.09
IN10243773,1,129.12
IN10215759,1,129.13
IN10232313,1,129.13
IN10249872,1,129.13
IN10042011,1,129.15
IN10232308,1,129.15
IN10232309,1,129.15
IN10232311,1,129.15
IN10236868,1,129.15
IN10155697,3,129.16
IN10106558,3,129.17
IN10232305,1,129.17
IN10232306,1,129.17
IN10157044,1,129.18
IN10232263,1,129.18
IN10232264,1,129.18
IN10232304,1,129.18
IN10251632,1,129.19
IN10232261,1,129.2
IN10232262,1,129.2
IN10034107,2,129.22
IN10185939,1,129.22
IN10232258,1,129.22
IN10232260,1,129.22
IN10232257,1,129.23
IN10220465,1,129.25
IN10181890,1,129.27
IN10062629,3,129.28
IN10157016,2,129.28
IN10075260,4,129.3
IN10155782,1,129.3
IN10188642,1,129.3
IN10094463,2,129.31
IN10089816,1,129.32
IN10109380,1,129.32
IN10103629,1,129.33
IN10173722,1,129.33
IN10256453,1,129.36
IN10052888,1,129.37
IN10097964,1,129.37
IN10174153,2,129.38
IN10082412,1,129.39
IN10049218,2,129.42
IN10201100,1,129.42
IN10152995,1,129.43
IN10262475,2,129.44
IN10047962,1,129.45
IN10061214,1,129.5
IN10261630,1,129.5
IN10064342,1,129.52
IN10255090,1,129.53
IN10098577,1,129.57
IN10041907,1,129.58
IN10098436,1,129.59
IN10059117,1,129.6
IN10102279,4,129.6
IN10256942,1,129.6
IN10176256,4,129.61
IN10060863,1,129.62
IN10075428,1,129.65
IN10112973,2,129.65
IN10136278,1,129.67
IN10068082,1,129.68
IN10234156,1,129.68
IN10057369,2,129.72
IN10216216,1,129.72
IN10040202,1,129.75
IN10182005,1,129.75
IN10056401,1,129.76
IN10188786,1,129.77
IN10073104,1,129.78
IN10061490,1,129.83
IN10113899,1,129.83
IN10235786,2,129.83
IN10080498,2,129.84
IN10097621,1,129.84
IN10042129,1,129.85
IN10072484,4,129.85
IN10215591,1,129.85
IN10143164,1,129.9
IN10055792,1,129.91
IN10095662,1,129.92
IN10168034,1,129.92
IN10235855,1,129.93
IN10103205,1,129.95
IN10059690,1,129.96
IN10142934,2,129.98
IN10032337,2,130
IN10034104,5,130
IN10034558,1,130
IN10034567,1,130
IN10034574,1,130
IN10038879,1,130
IN10040185,1,130
IN10040186,1,130
IN10046092,1,130
IN10046943,3,130
IN10064380,1,130
IN10074977,1,130
IN10088016,3,130
IN10095754,2,130
IN10110944,3,130
IN10136745,3,130
IN10147758,1,130
IN10156438,1,130
IN10175368,1,130
IN10201972,1,130
IN10204127,1,130
IN10217967,1,130
IN10252965,1,130
IN10086807,3,130.01
IN10081940,2,130.02
IN10184955,1,130.02
IN10244243,1,130.03
IN10168898,1,130.05
IN10179350,1,130.05
IN10249781,4,130.05
IN10096679,2,130.07
IN10053117,1,130.08
IN10113675,2,130.08
IN10232001,1,130.1
IN10218550,1,130.13
IN10239546,3,130.15
IN10058099,1,130.18
IN10132696,1,130.18
IN10181695,4,130.18
IN10071222,3,130.2
IN10184719,1,130.2
IN10041335,1,130.23
IN10081021,3,130.23
IN10139585,1,130.23
IN10259618,1,130.23
IN10104778,1,130.24
IN10144915,1,130.24
IN10048093,3,130.25
IN10187848,4,130.25
IN10062339,2,130.27
IN10071676,1,130.27
IN10193263,1,130.27
IN10237349,1,130.27
IN10113016,1,130.28
IN10059890,1,130.3
IN10100197,2,130.3
IN10149092,1,130.3
IN10219168,1,130.3
IN10075162,1,130.32
IN10163517,2,130.32
IN10216955,2,130.33
IN10114936,3,130.35
IN10113430,1,130.36
IN10111556,1,130.37
IN10219528,3,130.4
IN10140873,4,130.42
IN10184840,2,130.42
IN10116416,2,130.44
IN10089404,2,130.45
IN10169382,2,130.45
IN10061226,1,130.47
IN10109422,1,130.47
IN10040217,6,130.5
IN10058749,5,130.5
IN10089441,1,130.5
IN10073951,5,130.51
IN10140090,2,130.52
IN10058748,1,130.53
IN10140121,2,130.55
IN10202847,8,130.56
IN10105904,1,130.57
IN10066051,3,130.58
IN10046344,1,130.6
IN10091814,1,130.6
IN10187724,1,130.61
IN10140224,2,130.62
IN10140290,1,130.62
IN10204338,2,130.62
IN10047225,5,130.63
IN10114923,3,130.63
IN10140281,1,130.63
IN10251653,7,130.64
IN10037136,1,130.65
IN10198882,1,130.65
IN10074521,2,130.67
IN10160170,1,130.67
IN10077289,2,130.68
IN10128070,1,130.7
IN10172221,2,130.7
IN10114366,1,130.73
IN10032673,2,130.75
IN10032888,1,130.75
IN10054257,1,130.75
IN10083429,1,130.75
IN10056949,1,130.78
IN10175320,1,130.78
IN10199041,2,130.78
IN10058026,1,130.8
IN10095464,2,130.83
IN10114919,3,130.83
IN10125150,3,130.83
IN10131610,2,130.83
IN10136181,1,130.85
IN10122750,2,130.86
IN10104249,2,130.87
IN10144656,2,130.88
IN10175395,4,130.91
IN10250210,4,130.91
IN10028749,1,130.92
IN10057171,1,130.92
IN10103222,1,130.93
IN10077784,1,130.97
IN10083437,1,130.97
IN10232495,6,130.97
IN10235340,5,130.97
IN10083446,1,130.98
IN10185229,3,130.98
IN10232177,1,130.98
IN10144653,2,131
IN10169800,1,131
IN10205694,3,131
IN10064983,3,131.02
IN10144652,2,131.02
IN10094553,1,131.03
IN10170002,1,131.03
IN10240016,6,131.04
IN10232061,1,131.05
IN10165183,1,131.09
IN10114338,1,131.11
IN10058004,1,131.12
IN10128297,1,131.12
IN10212805,2,131.12
IN10029358,3,131.13
IN10033953,1,131.14
IN10041569,1,131.15
IN10097541,1,131.15
IN10030871,2,131.17
IN10123736,1,131.18
IN10209532,1,131.18
IN10097955,5,131.2
IN10247597,3,131.22
IN10208160,1,131.23
IN10038270,1,131.25
IN10049483,1,131.25
IN10192211,1,131.25
IN10248133,2,131.32
IN10138458,1,131.33
IN10102275,3,131.35
IN10248132,2,131.35
IN10164804,1,131.37
IN10169576,1,131.38
IN10066283,2,131.39
IN10215801,2,131.4
IN10223183,1,131.4
IN10102392,1,131.41
IN10088156,3,131.42
IN10047057,4,131.43
IN10116098,1,131.43
IN10223185,1,131.45
IN10224105,3,131.45
IN10066529,2,131.47
IN10086209,1,131.47
IN10229630,7,131.52
IN10129670,3,131.53
IN10155755,2,131.54
IN10074070,1,131.55
IN10060822,1,131.58
IN10170888,1,131.58
IN10216911,1,131.58
IN10237201,1,131.58
IN10094732,1,131.59
IN10182091,2,131.6
IN10253973,1,131.6
IN10152947,1,131.63
IN10219210,1,131.63
IN10242272,4,131.63
IN10152921,1,131.65
IN10152924,1,131.65
IN10152935,1,131.65
IN10165998,1,131.65
IN10152906,1,131.67
IN10166511,1,131.68
IN10247764,1,131.72
IN10119532,1,131.73
IN10211253,2,131.73
IN10087108,1,131.75
IN10047975,5,131.77
IN10102720,3,131.77
IN10103659,1,131.77
IN10261643,3,131.78
IN10043878,1,131.83
IN10061743,1,131.83
IN10157183,1,131.84
IN10069518,1,131.85
IN10108786,1,131.85
IN10028894,1,131.88
IN10223677,1,131.88
IN10087772,1,131.91
IN10032106,2,131.93
IN10057101,1,131.95
IN10096485,1,131.95
IN10136832,1,131.95
IN10092662,5,131.96
IN10081866,1,131.98
IN10065572,1,132
IN10193350,1,132
IN10049515,1,132.02
IN10075149,1,132.02
IN10118734,1,132.02
IN10139614,1,132.02
IN10063940,1,132.05
IN10140815,2,132.05
IN10200333,2,132.06
IN10197910,1,132.07
IN10092338,1,132.12
IN10069148,1,132.13
IN10100863,3,132.13
IN10117643,1,132.13
IN10211493,1,132.14
IN10046481,3,132.15
IN10117629,1,132.15
IN10037579,2,132.17
IN10225168,1,132.17
IN10033259,2,132.18
IN10165241,2,132.18
IN10200813,1,132.18
IN10215376,3,132.18
IN10039299,2,132.2
IN10113075,1,132.2
IN10159736,6,132.2
IN10090997,2,132.21
IN10140135,1,132.22
IN10235704,2,132.22
IN10181208,1,132.23
IN10205466,1,132.23
IN10084663,1,132.25
IN10196739,1,132.25
IN10225352,1,132.25
IN10074664,3,132.27
IN10082440,1,132.27
IN10094230,3,132.27
IN10150416,1,132.27
IN10232646,2,132.28
IN10029364,2,132.3
IN10041933,1,132.32
IN10087893,1,132.32
IN10210768,1,132.32
IN10078409,1,132.33
IN10170456,1,132.33
IN10052264,1,132.35
IN10153647,2,132.35
IN10183005,1,132.35
IN10253755,1,132.37
IN10064185,1,132.38
IN10090228,1,132.4
IN10145206,1,132.4
IN10125652,2,132.42
IN10140813,3,132.42
IN10129152,1,132.43
IN10147857,3,132.43
IN10075969,2,132.45
IN10194367,1,132.45
IN10221460,1,132.45
IN10077513,4,132.47
IN10156434,3,132.47
IN10074604,2,132.48
IN10175173,1,132.48
IN10078599,4,132.5
IN10140613,1,132.5
IN10176414,3,132.53
IN10164027,1,132.55
IN10258175,2,132.55
IN10095656,1,132.57
IN10143460,4,132.57
IN10100393,1,132.58
IN10252916,1,132.58
IN10168586,5,132.6
IN10238553,1,132.6
IN10173663,1,132.61
IN10070063,1,132.62
IN10075968,4,132.62
IN10080379,2,132.62
IN10217995,3,132.62
IN10046330,2,132.63
IN10127811,1,132.63
IN10056766,1,132.64
IN10071568,1,132.64
IN10083498,1,132.66
IN10098041,1,132.67
IN10256965,1,132.67
IN10034942,3,132.7
IN10041495,1,132.7
IN10082032,1,132.7
IN10098009,1,132.7
IN10232159,1,132.73
IN10099436,1,132.75
IN10138472,1,132.75
IN10178305,2,132.75
IN10232157,1,132.75
IN10232158,1,132.75
IN10232155,1,132.77
IN10232156,1,132.77
IN10232153,1,132.78
IN10232154,1,132.78
IN10232149,1,132.8
IN10232151,1,132.8
IN10232152,1,132.8
IN10215911,2,132.81
IN10084183,1,132.82
IN10094217,5,132.83
IN10119742,1,132.85
IN10080584,1,132.86
IN10117340,3,132.87
IN10144604,1,132.87
IN10070642,1,132.88
IN10092322,1,132.88
IN10138372,1,132.88
IN10150367,2,132.88
IN10232527,3,132.88
IN10191389,1,132.89
IN10095152,1,132.9
IN10229841,3,132.9
IN10044371,1,132.92
IN10166563,1,132.93
IN10203122,2,132.95
IN10153429,4,132.97
IN10100713,1,132.98
IN10137500,1,132.98
IN10045844,1,133
IN10103869,1,133
IN10167465,1,133
IN10114876,3,133.01
IN10182045,1,133.02
IN10076175,1,133.03
IN10097597,2,133.03
IN10216860,5,133.03
IN10065206,3,133.07
IN10249606,1,133.07
IN10080332,4,133.1
IN10224284,2,133.1
IN10242099,1,133.1
IN10256429,1,133.1
IN10259265,2,133.1
IN10092318,1,133.13
IN10238032,1,133.13
IN10100485,2,133.15
IN10184934,1,133.15
IN10151941,1,133.17
IN10096581,1,133.18
IN10157170,1,133.18
IN10037670,1,133.2
IN10086220,2,133.2
IN10247741,2,133.2
IN10211043,1,133.22
IN10140829,2,133.23
IN10158444,1,133.23
IN10092316,2,133.25
IN10186257,3,133.26
IN10054449,3,133.27
IN10090970,2,133.27
IN10238019,1,133.27
IN10235710,1,133.28
IN10089219,2,133.3
IN10154524,1,133.3
IN10165567,1,133.31
IN10214566,3,133.32
IN10056360,1,133.33
IN10081812,2,133.33
IN10182479,5,133.35
IN10051025,3,133.37
IN10073981,1,133.37
IN10169907,2,133.37
IN10175349,1,133.37
IN10054452,1,133.38
IN10139101,2,133.38
IN10176278,1,133.4
IN10032240,2,133.42
IN10178514,2,133.42
IN10228456,1,133.42
IN10101829,2,133.43
IN10113688,6,133.43
IN10178365,1,133.43
IN10165871,1,133.44
IN10043426,1,133.45
IN10159744,1,133.45
IN10046062,1,133.47
IN10068902,2,133.47
IN10166762,1,133.48
IN10062260,2,133.49
IN10049283,1,133.5
IN10110978,3,133.5
IN10228521,1,133.5
IN10097594,1,133.52
IN10112030,6,133.52
IN10190010,1,133.52
IN10112025,6,133.53
IN10134326,2,133.53
IN10072711,2,133.58
IN10085111,1,133.58
IN10228423,1,133.58
IN10081078,1,133.62
IN10047843,2,133.64
IN10053868,2,133.65
IN10074284,1,133.65
IN10068980,3,133.7
IN10052635,3,133.72
IN10066257,1,133.72
IN10181947,1,133.72
IN10213430,2,133.75
IN10239264,1,133.75
IN10241825,1,133.75
IN10148620,2,133.77
IN10166044,1,133.77
IN10117798,2,133.78
IN10234041,1,133.78
IN10234042,1,133.78
IN10094994,4,133.8
IN10118081,1,133.83
IN10181194,1,133.83
IN10175755,1,133.87
IN10051182,1,133.88
IN10062902,1,133.88
IN10106166,1,133.88
IN10254495,2,133.88
IN10159470,2,133.9
IN10179117,2,133.9
IN10041667,1,133.92
IN10090858,2,133.92
IN10144167,1,133.94
IN10050071,1,133.97
IN10180532,1,133.97
IN10193212,1,133.97
IN10042168,3,133.98
IN10066954,1,133.98
IN10208448,1,133.98
IN10082190,2,134
IN10102765,1,134
IN10147740,2,134.01
IN10088670,1,134.02
IN10162461,3,134.02
IN10080351,1,134.03
IN10217517,1,134.03
IN10044201,1,134.05
IN10059677,1,134.05
IN10101798,2,134.05
IN10037638,2,134.07
IN10054404,2,134.07
IN10118982,1,134.07
IN10236489,1,134.07
IN10122669,1,134.1
IN10156332,1,134.1
IN10218791,1,134.12
IN10066718,2,134.14
IN10160578,1,134.15
IN10100690,2,134.17
IN10157898,2,134.17
IN10103902,1,134.2
IN10059256,1,134.21
IN10116381,1,134.23
IN10062129,2,134.27
IN10131779,2,134.27
IN10219107,1,134.27
IN10038810,2,134.28
IN10061454,1,134.3
IN10060139,1,134.32
IN10132137,1,134.32
IN10033229,1,134.36
IN10122664,2,134.37
IN10188283,4,134.39
IN10098602,1,134.4
IN10160055,1,134.4
IN10133439,3,134.43
IN10139157,1,134.43
IN10112625,1,134.44
IN10139156,1,134.45
IN10132422,2,134.47
IN10178344,1,134.48
IN10031988,1,134.5
IN10112954,1,134.5
IN10150860,1,134.5
IN10170962,1,134.5
IN10175781,1,134.5
IN10124529,2,134.52
IN10071046,1,134.53
IN10062473,5,134.55
IN10068530,3,134.55
IN10218211,1,134.55
IN10149193,3,134.57
IN10127142,1,134.58
IN10148136,1,134.58
IN10211272,1,134.58
IN10074685,1,134.6
IN10060136,1,134.62
IN10074738,1,134.62
IN10094200,1,134.63
IN10033741,1,134.65
IN10143170,1,134.65
IN10151978,1,134.65
IN10050042,1,134.73
IN10195203,1,134.73
IN10249775,4,134.73
IN10066932,3,134.75
IN10035645,1,134.78
IN10181017,1,134.78
IN10228584,1,134.78
IN10090477,1,134.82
IN10151045,2,134.82
IN10122417,1,134.87
IN10240814,1,134.87
IN10098451,2,134.9
IN10215297,2,134.9
IN10065107,3,134.92
IN10155780,2,134.92
IN10066942,2,134.93
IN10174134,2,134.95
IN10209287,1,134.95
IN10057504,1,134.96
IN10189471,1,134.96
IN10061495,4,135
IN10074312,6,135
IN10195969,1,135.01
IN10071458,3,135.03
IN10167676,2,135.04
IN10169563,2,135.07
IN10056651,2,135.08
IN10088797,1,135.12
IN10168955,1,135.12
IN10175255,1,135.12
IN10048956,1,135.15
IN10084810,1,135.15
IN10088809,1,135.15
IN10188351,2,135.15
IN10114875,3,135.16
IN10088863,1,135.17
IN10031104,3,135.2
IN10051392,2,135.2
IN10088589,2,135.2
IN10112597,4,135.2
IN10206548,1,135.2
IN10103403,2,135.22
IN10056379,1,135.23
IN10224551,6,135.23
IN10030151,3,135.25
IN10039902,2,135.25
IN10144112,3,135.25
IN10152536,4,135.25
IN10058382,3,135.28
IN10211128,2,135.28
IN10221748,3,135.29
IN10033585,3,135.32
IN10078869,1,135.32
IN10087269,2,135.33
IN10144887,1,135.33
IN10171129,1,135.33
IN10136501,2,135.35
IN10152025,2,135.35
IN10062361,3,135.37
IN10043880,2,135.38
IN10050736,2,135.4
IN10109047,3,135.41
IN10177786,1,135.43
IN10171211,1,135.44
IN10180677,1,135.45
IN10135257,1,135.47
IN10059627,1,135.48
IN10063272,1,135.48
IN10107107,1,135.48
IN10153986,2,135.5
IN10036982,1,135.52
IN10073966,2,135.52
IN10142128,2,135.53
IN10054740,2,135.54
IN10097511,1,135.55
IN10166695,5,135.55
IN10220048,2,135.55
IN10262507,1,135.57
IN10078785,1,135.58
IN10096491,1,135.58
IN10179083,1,135.58
IN10040276,1,135.6
IN10091116,5,135.63
IN10202334,1,135.68
IN10206925,1,135.69
IN10247890,1,135.69
IN10096158,1,135.7
IN10218222,1,135.72
IN10225057,1,135.72
IN10084784,1,135.78
IN10207140,1,135.79
IN10051681,1,135.8
IN10060125,1,135.8
IN10170946,4,135.82
IN10219284,3,135.82
IN10115337,1,135.83
IN10082700,3,135.88
IN10034518,1,135.9
IN10059616,1,135.9
IN10161913,1,135.9
IN10060648,3,135.92
IN10140547,2,135.92
IN10139894,3,135.93
IN10181539,3,135.95
IN10231950,1,135.95
IN10099120,2,135.97
IN10162634,2,135.97
IN10212675,1,135.97
IN10231106,1,135.97
IN10103749,1,135.98
IN10116445,3,135.98
IN10182939,4,136
IN10179158,2,136.02
IN10072272,2,136.03
IN10084483,1,136.03
IN10155303,1,136.03
IN10051878,1,136.05
IN10102725,1,136.05
IN10170370,1,136.07
IN10198880,1,136.07
IN10252268,1,136.07
IN10050925,5,136.08
IN10087696,2,136.1
IN10251933,1,136.12
IN10063996,1,136.13
IN10166069,1,136.13
IN10103746,1,136.15
IN10110510,1,136.16
IN10075951,1,136.17
IN10190079,1,136.17
IN10170571,1,136.18
IN10180421,1,136.2
IN10129035,1,136.22
IN10146965,1,136.22
IN10134874,1,136.23
IN10164812,3,136.25
IN10237089,1,136.26
IN10109233,2,136.32
IN10134868,1,136.32
IN10257293,3,136.32
IN10061292,1,136.33
IN10203043,3,136.33
IN10031952,3,136.35
IN10103744,1,136.35
IN10134867,1,136.35
IN10209542,1,136.35
IN10089903,1,136.37
IN10100193,1,136.37
IN10135607,2,136.37
IN10066388,1,136.38
IN10134865,1,136.38
IN10169846,4,136.38
IN10134863,4,136.42
IN10133026,2,136.43
IN10146187,1,136.43
IN10208196,1,136.44
IN10075022,2,136.45
IN10134860,1,136.45
IN10041130,5,136.47
IN10042615,5,136.47
IN10128395,1,136.47
IN10243992,2,136.47
IN10097655,1,136.5
IN10108575,2,136.5
IN10056512,1,136.52
IN10075023,2,136.53
IN10073106,1,136.55
IN10152675,1,136.55
IN10234596,1,136.55
IN10256905,1,136.55
IN10081200,1,136.57
IN10214286,1,136.57
IN10240303,4,136.57
IN10240713,1,136.57
IN10111612,2,136.58
IN10153090,1,136.58
IN10052940,2,136.6
IN10113007,1,136.6
IN10185628,1,136.6
IN10206813,1,136.62
IN10241744,1,136.63
IN10061084,1,136.65
IN10167960,1,136.65
IN10113952,1,136.66
IN10044397,3,136.67
IN10071091,1,136.67
IN10065600,2,136.7
IN10165082,1,136.7
IN10085062,1,136.72
IN10169274,4,136.75
IN10050457,1,136.77
IN10052843,1,136.77
IN10074420,1,136.77
IN10109526,3,136.77
IN10153201,1,136.79
IN10060966,1,136.8
IN10068935,4,136.82
IN10086257,4,136.82
IN10138675,1,136.85
IN10100136,2,136.86
IN10075323,2,136.87
IN10081831,1,136.87
IN10041235,3,136.9
IN10146139,1,136.9
IN10159564,1,136.91
IN10029962,3,136.92
IN10057135,1,136.92
IN10092868,2,136.92
IN10181463,1,136.92
IN10060090,1,136.93
IN10050156,1,136.94
IN10035053,1,136.95
IN10054362,1,136.95
IN10113157,2,136.95
IN10121558,2,136.95
IN10262132,2,136.95
IN10054091,3,136.98
IN10239240,2,136.98
IN10044211,1,137.02
IN10167240,1,137.02
IN10211587,2,137.03
IN10093935,4,137.05
IN10126206,3,137.05
IN10140853,1,137.05
IN10153196,1,137.05
IN10166943,1,137.05
IN10050682,2,137.07
IN10089677,3,137.07
IN10169709,4,137.07
IN10042630,1,137.08
IN10057695,1,137.08
IN10259135,2,137.08
IN10051118,5,137.1
IN10066862,1,137.1
IN10188309,1,137.1
IN10251817,2,137.11
IN10048348,1,137.12
IN10051119,5,137.12
IN10094561,1,137.12
IN10161884,1,137.13
IN10161887,1,137.13
IN10133665,4,137.15
IN10214327,2,137.15
IN10083564,1,137.17
IN10127293,1,137.17
IN10172682,1,137.17
IN10176770,1,137.17
IN10051120,5,137.18
IN10054863,3,137.18
IN10151913,1,137.18
IN10199930,1,137.18
IN10234979,1,137.21
IN10082294,1,137.22
IN10243838,1,137.22
IN10054252,2,137.23
IN10063307,1,137.23
IN10156123,1,137.23
IN10079101,1,137.24
IN10242734,1,137.24
IN10169708,4,137.25
IN10212248,1,137.25
IN10057342,2,137.27
IN10084766,1,137.28
IN10231919,1,137.28
IN10029583,1,137.32
IN10130105,1,137.32
IN10034512,1,137.35
IN10085588,2,137.35
IN10204256,2,137.36
IN10214789,1,137.37
IN10232085,1,137.37
IN10165116,1,137.38
IN10261281,3,137.4
IN10032111,1,137.43
IN10073397,1,137.43
IN10107711,2,137.43
IN10216422,2,137.43
IN10075295,2,137.45
IN10100064,1,137.48
IN10249643,1,137.48
IN10253941,1,137.49
IN10091030,6,137.5
IN10092536,3,137.5
IN10153194,1,137.5
IN10057288,1,137.54
IN10176800,2,137.55
IN10155418,1,137.57
IN10191113,2,137.59
IN10167270,2,137.6
IN10222776,3,137.6
IN10130365,1,137.63
IN10215737,3,137.63
IN10223124,2,137.63
IN10088788,2,137.65
IN10094251,3,137.65
IN10131472,1,137.65
IN10053799,3,137.67
IN10145014,4,137.67
IN10038353,1,137.68
IN10137531,2,137.68
IN10244476,2,137.68
IN10150519,2,137.69
IN10035368,3,137.7
IN10086131,1,137.7
IN10131593,1,137.7
IN10132087,1,137.7
IN10079139,2,137.72
IN10109282,1,137.72
IN10236219,1,137.72
IN10041777,1,137.73
IN10047705,1,137.73
IN10243763,1,137.73
IN10093555,3,137.75
IN10083351,1,137.78
IN10209411,2,137.78
IN10055541,4,137.8
IN10169579,1,137.85
IN10175871,1,137.85
IN10088313,2,137.87
IN10061189,1,137.88
IN10155035,1,137.88
IN10123945,1,137.9
IN10185276,1,137.9
IN10036622,2,137.92
IN10143038,2,137.93
IN10204538,2,137.93
IN10211251,4,137.93
IN10225863,2,137.96
IN10113275,1,137.98
IN10162513,2,137.98
IN10039448,2,138
IN10126770,1,138
IN10233042,1,138
IN10046696,1,138.02
IN10257889,1,138.08
IN10139424,1,138.12
IN10233961,1,138.12
IN10233958,1,138.13
IN10233960,1,138.15
IN10068055,1,138.16
IN10165337,2,138.17
IN10187397,1,138.19
IN10075953,1,138.2
IN10127928,3,138.22
IN10149865,3,138.22
IN10167856,3,138.24
IN10072825,1,138.25
IN10203250,1,138.25
IN10177036,2,138.27
IN10250711,1,138.27
IN10250904,1,138.28
IN10102061,4,138.3
IN10115121,1,138.3
IN10168008,1,138.3
IN10257883,2,138.3
IN10257803,1,138.32
IN10031037,1,138.33
IN10057044,2,138.33
IN10116127,1,138.33
IN10117275,1,138.36
IN10144537,1,138.37
IN10201060,1,138.39
IN10131965,4,138.4
IN10227838,1,138.4
IN10117326,1,138.41
IN10159478,1,138.41
IN10129680,1,138.42
IN10148707,1,138.42
IN10230999,1,138.43
IN10242759,1,138.46
IN10069144,1,138.47
IN10195322,1,138.47
IN10247713,1,138.47
IN10044942,1,138.48
IN10124439,1,138.48
IN10178312,1,138.48
IN10216358,1,138.51
IN10042082,2,138.52
IN10098774,2,138.52
IN10260714,1,138.52
IN10078093,4,138.54
IN10036926,1,138.55
IN10062351,1,138.55
IN10085780,2,138.58
IN10043886,3,138.62
IN10109269,1,138.62
IN10181970,1,138.62
IN10194374,1,138.63
IN10240673,2,138.63
IN10151859,1,138.65
IN10086014,1,138.67
IN10184239,1,138.67
IN10081749,1,138.68
IN10087433,1,138.68
IN10098822,1,138.68
IN10226360,1,138.68
IN10144847,2,138.7
IN10090407,1,138.72
IN10145519,1,138.72
IN10041386,2,138.73
IN10071395,1,138.73
IN10136988,1,138.73
IN10036932,1,138.78
IN10093257,1,138.78
IN10145301,1,138.78
IN10094922,1,138.8
IN10184299,1,138.8
IN10238272,2,138.8
IN10251986,2,138.8
IN10054462,4,138.82
IN10117162,2,138.82
IN10126802,2,138.82
IN10134975,2,138.82
IN10036601,1,138.84
IN10154741,1,138.84
IN10229926,1,138.84
IN10123971,1,138.87
IN10198928,4,138.88
IN10078631,4,138.9
IN10127504,1,138.9
IN10132950,1,138.9
IN10151855,1,138.91
IN10130070,4,138.92
IN10220470,1,138.93
IN10189045,2,138.96
IN10068432,2,138.97
IN10127423,1,138.97
IN10039037,4,138.98
IN10059134,4,139
IN10061593,2,139
IN10151955,1,139.03
IN10245923,1,139.04
IN10103243,1,139.05
IN10129599,2,139.06
IN10212041,1,139.06
IN10093960,3,139.1
IN10211536,1,139.1
IN10233250,1,139.1
IN10204919,1,139.11
IN10083071,2,139.12
IN10143733,2,139.12
IN10075125,1,139.15
IN10127184,2,139.15
IN10139527,2,139.15
IN10103734,1,139.16
IN10162421,1,139.16
IN10162555,1,139.16
IN10029597,1,139.17
IN10039804,2,139.17
IN10117498,2,139.17
IN10074514,1,139.18
IN10087393,2,139.2
IN10195667,1,139.2
IN10239555,1,139.2
IN10039323,1,139.25
IN10054004,2,139.25
IN10148375,1,139.27
IN10173773,1,139.27
IN10050403,1,139.28
IN10079566,3,139.28
IN10108343,1,139.28
IN10045684,2,139.3
IN10083515,2,139.32
IN10190121,3,139.32
IN10232040,1,139.32
IN10068475,2,139.33
IN10168211,4,139.33
IN10232034,1,139.33
IN10232035,1,139.33
